"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"1.89 Super Quality Cleaners","3560 E Woodmen Rd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Bobby Adkinson","Owner",,2,114000,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"1.89 Super Quality Cleaners","5961 Constitution Ave","Colorado Springs","CO",80915,"El Paso","Male",2147483647,,"Bobby Adkison","Owner",,1,61200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"1.89 Super Quality Cleaners","7840 N Academy Blvd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Bobby Adkinson","Owner",,2,114000,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"189 Cleaners","6884 Centennial Blvd","Colorado Springs","CO",80919,"El Paso","Female",2147483647,,"Betty Hines","Manager",,1,61200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"189 Super Quality Dry","4103 Centennial Blvd","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Bobby Atkinson","Owner",,28,1764000,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"189 Super Quality Dry Cleaners","9475 Briar Village Pt","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Bobby Atkinson","Owner",,3,178200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Americleaners","3875 E Pikes Peak Ave","Colorado Springs","CO",80909,"El Paso","Female",2147483647,,"Yong An","Owner",,1,61800,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Andrew's Cleaners","5162 Centennial Blvd","Colorado Springs","CO",80919,"El Paso","Male",2147483647,,"Jay An","Owner",,1,60600,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Best Cleaners","129 Fontaine Blvd","Colorado Springs","CO",80911,"El Paso","Female",2147483647,,"M Lee","Owner",,3,172800,"Personal Services (Services)",44,"Garment Pressing And Cleaners","Thomas E@best-cleaners.com"
"Best Cleaners","3157 W Colorado Ave","Colorado Springs","CO",80904,"El Paso",,2147483647,,,,,3,187200,"Personal Services (Services)",44,"Garment Pressing And Cleaners","Thomas E@best-cleaners.com"
"Best Cleaners","5519 Powers Center Pt","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Thomas E Yi","Owner",,1,61200,"Personal Services (Services)",44,"Garment Pressing And Cleaners","Thomas E@best-cleaners.com"
"Blue Star Cleaners","5754 N Academy Blvd","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Johnson Desai","Owner",,3,176400,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Borg-Warner Clothing Care","1849 Peterson Rd","Colorado Springs","CO",80915,"El Paso","Female",2147483647,,"Yong Sun Kim","Owner",,1,59400,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Broadmoor Cleaners & Laundry","1 Lake Cir","Colorado Springs","CO",80906,"El Paso","Male",2147483647,7194716224,"Ray Current","Manager",,3,187200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Carefree Dry Cleaners","4761 N Carefree Cir","Colorado Springs","CO",80917,"El Paso","Female",2147483647,,"Sun Carner","Owner",,2,117600,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Champion Cleaners","5761 Constitution Ave","Colorado Springs","CO",80915,"El Paso","Male",2147483647,,"Martin Broin","Manager",,6,523800,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Cheyenne Canyon Cleaners","6530 S Academy Blvd","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Andy Song","Owner",,1,59400,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Cheyenne Canyon Cleaners","802 Arcturus Dr","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Andrew Song","Owner",,4,513000,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Contenital Cleaner","6780 N Academy Blvd","Colorado Springs","CO",80918,"El Paso",,2147483647,,"Lynn Hawkins","Owner",,21,525200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Continental Cleaners","6780 N Academy Blvd","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Lynn Hawkins","Owner",,14,679800,"Personal Services (Services)",44,"Garment Pressing And Cleaners","Lynn@continentaldrycleaners.com"
"Couture's Fabric Care","801 N Tejon St","Colorado Springs","CO",80903,"El Paso","Male",2147483647,7196321476,"Keith Peterson","Owner",,15,795600,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
"Delta Cleaners","2547 Delta Dr","Colorado Springs","CO",80910,"El Paso",,2147483647,,,,,3,178200,"Personal Services (Services)",44,"Garment Pressing And Cleaners",
