"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"Cellar At Rockrimmon","6606 Delmonico Dr","Colorado Springs","CO",80919,"El Paso","Male",2147483647,,"Jun Choi","Owner",,3,664440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Cheyenne Mountain Disc Liquors","724 Cheyenne Meadows Rd B","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Chung Choi","President",,1,92700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Cheyenne Mountain Liquors","724 Cheyenne Meadows Rd # B","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Do Young Choi","Owner",,1,219220,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Cheyenne Trail Liquors","1703 S 8th St","Colorado Springs","CO",80906,"El Paso","female",2147483647,,"Patricia Butler","Partner",,3,242500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Chong's Liquors","5805 Galley Rd","Colorado Springs","CO",80915,"El Paso","Female",2147483647,,"Soni Chong","Owner",,1,230520,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Chongs Liquors LLC","5805 Galley Rd","Colorado Springs","CO",80915,"El Paso",,2147483647,,"Hyechong Member",,,2,606000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Classic Liqour","1712 Dublin Blvd","Colorado Springs","CO",80918,"El Paso","female",2147483647,,"Susan Paulick","President",,3,275400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Classic Liquor","1712 Dublin Blvd","Colorado Springs","CO",80918,"El Paso",,2147483647,,,,,4,931120,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Club Wine & Spirits","715 S Academy Blvd","Colorado Springs","CO",80910,"El Paso",,2147483647,,,,,2,166600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Coaltrain Wine & Liquor","330 W Uintah St","Colorado Springs","CO",80905,"El Paso","female",2147483647,7194759715,"Marsha Little","Partner","www.coaltrainwine.com",9,821700,"Miscellaneous Retail (Stores)",24,"Liquor Stores","MPeggy@coaltrainwine.com"
"Colorado Liquor Outlet","1615 Briargate Blvd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,7192669301,"Wayne Harris","President",,15,4294000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Colorado Wine & Liquor Co","3502 Hartsel Dr","Colorado Springs","CO",80920,"El Paso",,2147483647,,"Cheol Ji","Member",,4,519400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Colorado Wine & Liquor Co","5055 N Academy Blvd","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Cheol Ji","Owner",,3,650880,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Colorados Liquor Connection","7065 Austin Bluffs Pkwy","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"John Riggen","Owner",,2,447480,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Colorados Liquors Outlet","1615 Briargate Blvd","Colorado Springs","CO",80920,"El Paso","male",2147483647,,"Wayne Harris","President",,20,1545000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Connoisseur The","1635 W Uintah St","Colorado Springs","CO",80904,"El Paso","female",2147483647,,"Nicola Myers","President",,2,185400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Cork Skrew","1635 W Uintah St","Colorado Springs","CO",80904,"El Paso","Female",2147483647,,"Nicola Myers","Owner",,3,691560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Corkes Bottles & Brews","1852 Southgate Rd","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Hayden Lee","President",,5,1141300,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Corks Bottles & Brews","60 Southgate Ctr","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Hayden Lee","President",,5,422400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Crown Discount Wine & Liquor","6932 N Academy Blvd","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Doug Smith","Owner",,9,1613640,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Crown Wine and Liquor","6932 N Academy Blvd","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"Douglas Smith","President",,8,742500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"CWS Inc","715 S Academy Blvd","Colorado Springs","CO",80910,"El Paso","Male",2147483647,,"Brad Chacon","Owner",,5,1152600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Discount Liquors","3117 Sinton Rd","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,1,232780,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Discount Liquors","3119 Sinton Rd","Colorado Springs","CO",80907,"El Paso","female",2147483647,,"Sylvia Boyd","Manager",,0,0,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Dollar Liquor","4604 Rusina Rd","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,3,691560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Drive-In Liquors","141 N Spruce St","Colorado Springs","CO",80905,"El Paso","Male",2147483647,,"Mike Morrissey","Owner",,5,1550360,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Eagle Wine & Spirits","1060 W Baptist Rd","Colorado Springs","CO",80921,"El Paso","male",2147483647,,"Randy Obermeyer","Owner",,9,717100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Ellicott Liqour Store","17880 State Highway 94","Colorado Springs","CO",80930,"El Paso","male",2147483647,,"Bob Muhe","Owner",,1,76760,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Fairfax Liquor Inc","5535 Powers Center Pt","Colorado Springs","CO",80920,"El Paso","Female",2147483647,,"Barb Mattingley","Owner",,3,684780,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Fairway Liquor","4328 Austin Bluffs Pkwy","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Steve Stewart","Owner",,1,223740,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Falcon Liquor","1167 E Us Highway 24","Colorado Springs","CO",80908,"El Paso",,2147483647,,,,,2,433920,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Family Liquor","435 N Murray Blvd","Colorado Springs","CO",80916,"El Paso","Male",2147483647,,"Gung Soo Park","Owner",,3,657660,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Family Liquors","435 N Murray Blvd","Colorado Springs","CO",80916,"El Paso",,2147483647,,,,,2,175100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Fillmore Liquors","810 E Fillmore St","Colorado Springs","CO",80907,"El Paso",,2147483647,,"Kwisun Yi","Owner",,2,176400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Fort Carson Class 6 Store","Fort Carson Bldg 1524","Colorado Springs","CO",80913,"El Paso",,2147483647,,"Zata Deblaisio","General Manager",,0,0,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Frank & Jack's Package Liquor","525 N 30th St","Colorado Springs","CO",80904,"El Paso","Male",2147483647,,"Frank Kim","Owner",,2,470080,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Frank & Jacks Package Lq Str","525 N 30th St","Colorado Springs","CO",80904,"El Paso","male",2147483647,,"Sam Park","Owner",,2,145500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Frontier Liquors","3328 E Fountain Blvd","Colorado Springs","CO",80910,"El Paso","male",2147483647,,"Chris Hickman","Member",,3,272700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Galley Discount Liquor","4311 Galley Rd","Colorado Springs","CO",80915,"El Paso",,2147483647,,,,,3,691560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Galley Plaza Liquors","1896 Chapel Hills Dr","Colorado Springs","CO",80920,"El Paso","male",2147483647,,"Yong Werner","Owner",,2,183600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Garden of Gods Liquor","777 Garden of The Gods Rd","Colorado Springs","CO",80907,"El Paso","male",2147483647,,"Jack Mason","Owner",,7,805100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Garden Of The Gods Liquor","777 Garden Of The Gods Rd","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Jody Maggard","Manager",,8,1383120,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Gin Mill Liquor","410 N Circle Dr","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Kuk Chong","Owner",,2,456520,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Gin Mill Liquors Inc","410 N Circle Dr","Colorado Springs","CO",80909,"El Paso",,2147483647,,"Kuk Chong","President",,2,174600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Gleneagle Liquors","13848 Gleneagle Dr","Colorado Springs","CO",80921,"El Paso","Female",2147483647,,"Micha Kim","Owner",,2,442960,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Gleneagle Liquors LLC","13848 Gleneagle Dr","Colorado Springs","CO",80921,"El Paso",,2147483647,,"Micha Kim","Member",,2,181800,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"H & R Liquor","1142 E Fillmore St","Colorado Springs","CO",80907,"El Paso",,2147483647,,"Ray Yeung","Principal",,3,272700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Harry's Liquors","1527 S Nevada Ave","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Harry Cheoi","Owner",,2,465560,"Miscellaneous Retail (Stores)",24,"Liquor Stores","Harry_Cheoi@supersellers.com"
"Harrys Liquor","1527 S Nevada Ave","Colorado Springs","CO",80906,"El Paso",,2147483647,,"Tae Choi","Vice-President",,2,178200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"J & K Liquor","2906 N Powers Blvd","Colorado Springs","CO",80922,"El Paso","Male",2147483647,,"Michael Jin","Owner",,2,442960,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"J & K Liquors","2906 N Powers Blvd","Colorado Springs","CO",80922,"El Paso","male",2147483647,,"Michael Jin","President",,2,185400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"J W's Liquors","319 S Hancock Ave","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Wes Cosgrove","Owner",,3,671220,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"J WS Liquors","319 S Hancock Ave","Colorado Springs","CO",80903,"El Paso","male",2147483647,,"Wes Cosgrove","Owner",,4,569250,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Jamboree Liquor Inc","8290 Razorback Rd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Jay Patel","Owner",,3,664440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Jay's Liquor Store","31 E Fillmore St","Colorado Springs","CO",80907,"El Paso","Female",2147483647,,"Chong Alderman","Owner",,1,223740,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Jays Liquor Store","31 E Fillmore St","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,2,171700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Jet-Way Liquors","1645 Jet Wing Dr","Colorado Springs","CO",80916,"El Paso","male",2147483647,,"Chuck Kellogg","Owner",,1,177510,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Jhl Aspen Liquors Inc","2888 Wild Cherry Ln","Colorado Springs","CO",80920,"El Paso","male",2147483647,,"Jung Lee","Principal",,2,171000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"JMB 8th Stret Liquor","506 S 8th St","Colorado Springs","CO",80905,"El Paso","Male",2147483647,,"Brandon Perry","Manager",,2,438440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Johnnies Liquor Store","1725 S Nevada Ave","Colorado Springs","CO",80906,"El Paso",,2147483647,,"Neelesh Patel","Owner",,4,326700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Johnnies' Liquor Store","1725 S Nevada Ave","Colorado Springs","CO",80906,"El Paso","Male",2147483647,7196336417,"Neelish Patel","Owner",,4,876880,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"K & G Liquor","1580 Space Center Dr # 107","Colorado Springs","CO",80915,"El Paso",,2147483647,,,,,3,644100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"K S Liquors","2060 S Academy Blvd","Colorado Springs","CO",80916,"El Paso","Male",2147483647,,"Kim Salvador","Owner",,2,442960,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Kindred Spirits","2355 Ramsgate Ter","Colorado Springs","CO",80919,"El Paso","female",2147483647,,"Melissa Bachman","Owner",,2,172800,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"KS Liquors","2060 S Academy Blvd","Colorado Springs","CO",80916,"El Paso","male",2147483647,,"Ken Salvador","Owner",,1,92700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lakeview Liquor","4646 N Nevada Ave","Colorado Springs","CO",80918,"El Paso",,2147483647,,,,,2,163200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Las Vegas Liquor","19 E Las Vegas St","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Claire Glasco","Owner",,2,465560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lee's Liquors","502 W Colorado Ave","Colorado Springs","CO",80905,"El Paso","Male",2147483647,,"Berry Kelppin","Owner",,2,465560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lees Liquors","502 W Colorado Ave","Colorado Springs","CO",80905,"El Paso",,2147483647,,"Haregu Bahta","President",,2,49500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lighthouse Wine & Spirits","1670 E Cheyenne Mountain","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Dan Butler","Owner",,14,999100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lighthouse Wine & Spirits","1670 E Cheyenne Mtn Blvd # N1","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"Dan Butler","Manager",,4,894960,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Liquor City","1506 N Academy Blvd","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Darmesh Jivan","Manager",,11,1645280,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Liquor Depot","5984 Stetson Hills Blvd","Colorado Springs","CO",80922,"El Paso","Male",2147483647,,"Gene Jones","Owner",,2,465560,"Miscellaneous Retail (Stores)",24,"Liquor Stores","GeneJ@liquorandwine.net"
"Liquor Inn","3650 Austin Bluffs Pkwy # 193","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Kim Soo","Owner",,2,429400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Liquor Inn Inc","3650 Austin Bluffs Pkwy # 193","Colorado Springs","CO",80918,"El Paso",,2147483647,,"SOO Kim","President",,2,187200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Liquor Locker Inc","5690 N Union Blvd","Colorado Springs","CO",80918,"El Paso","female",2147483647,,"Rosita Lopez","President",,3,267300,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Liquor Spot","2831 N Nevada Ave","Colorado Springs","CO",80907,"El Paso","male",2147483647,,"Santos Huizar","Owner",,2,181800,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lots A Liquor","2308 N Wahsatch Ave","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Nalin Gobal","Manager",,3,691560,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Lots A Liquor & Tobacco","2308 N Wahsatch Ave","Colorado Springs","CO",80907,"El Paso",,2147483647,,"Dipka Gopal","President",,2,174600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"M K Wine & Liquor","5955 Constitution Ave","Colorado Springs","CO",80915,"El Paso","Male",2147483647,,"Michael Czerkies","Owner",,3,664440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mesa Liquors","1740 Shasta Dr","Colorado Springs","CO",80910,"El Paso","male",2147483647,,"Jason Kin","Owner",,4,363600,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mission Point Liquor","3051 Jet Wing Dr","Colorado Springs","CO",80916,"El Paso",,2147483647,,"Rezene Hagos","Manager",,2,172800,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mission Pointe Liquors","3051 Jet Wing Dr","Colorado Springs","CO",80916,"El Paso",,2147483647,,,,,4,931120,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mk Wine & Liquor","5955 Constitution Ave","Colorado Springs","CO",80915,"El Paso","male",2147483647,,"Mike Czerkies","Owner",,5,431200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Montana Liquors","6530 S Academy Blvd","Colorado Springs","CO",80906,"El Paso","Male",2147483647,7195767895,"Sung Choe","Owner",,3,644100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Montana Liquors LLC","6530 S Academy Blvd # 101","Colorado Springs","CO",80906,"El Paso",,2147483647,,"Seng Choe","President",,3,275400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mountain View Liquors","313 Mount View Ln","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,2,438440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Mountview Liquors","313 Mount View Ln","Colorado Springs","CO",80907,"El Paso",,2147483647,,"Bung Kim","President",,2,172800,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Murray Square Liquor","657 N Murray Blvd","Colorado Springs","CO",80915,"El Paso","Male",2147483647,,"Sunhee Park","Owner",,1,232780,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Murray Square Liquors","657 N Murray Blvd","Colorado Springs","CO",80915,"El Paso",,2147483647,,"Tan Kim","Owner",,3,267300,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Neighbors Liquors","5044 N Academy Blvd","Colorado Springs","CO",80918,"El Paso",,2147483647,,"Myong Lee","Owner",,1,90900,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Oddone's Liquors","441 N Union Blvd","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Christopher Sharkey","President",,5,1073500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Oddones Liquors","441 N Union Blvd","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Jeff Miller","President",,3,242500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Omaha Liquors","6425 Omaha Blvd","Colorado Springs","CO",80915,"El Paso","female",2147483647,,"Ramona Burns","Owner",,1,242500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"P West Side Liquor","1602 W Colorado Ave","Colorado Springs","CO",80904,"El Paso",,2147483647,,,,,3,664440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Palmer Park Liquor","3381 N Academy Blvd","Colorado Springs","CO",80917,"El Paso",,2147483647,,,,,3,705120,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Parkway Liquor Store","4328 Austin Bluffs Pkwy","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"William Costabile","President",,1,84150,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Pauls Liquors","2842 E Pikes Peak Ave","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Wilfred Lachapelle","Owner",,4,356400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Peak Wine & Liquor","2427 N Academy Blvd","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,2,176400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Peregrine Liquors","6894 Centennial Blvd","Colorado Springs","CO",80919,"El Paso",,2147483647,,,,,2,171700,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Peterson Discount Liquors","644 Peterson Rd","Colorado Springs","CO",80915,"El Paso","Male",2147483647,,"Daesik Kim","Owner",,1,232780,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Peterson Road Liquors","640 Peterson Rd","Colorado Springs","CO",80915,"El Paso",,2147483647,,"Daesik Kim","President",,2,185400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Pikes Peak Liquor","401 E Pikes Peak Ave","Colorado Springs","CO",80903,"El Paso","female",2147483647,,"Maggie Herr","Owner",,3,240000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Pikes Peak Liquors","401 E Pikes Peak Ave","Colorado Springs","CO",80903,"El Paso","Female",2147483647,,"Maggy Herr","Owner",,2,433920,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Pikes Peak Park Liquor","2831 E Fountain Blvd","Colorado Springs","CO",80910,"El Paso",,2147483647,,"Chun Emerson","Owner",,2,594000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Pinon Valley Liquor","811 Village Center Dr","Colorado Springs","CO",80919,"El Paso",,2147483647,,"Ohio Lee","President",,5,727500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Platte Ave Liquors","841 E Platte Ave","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Sung Kim","Owner",,2,461040,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Platte Liquor","2318 E Platte Ave","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"John S Kim","President",,2,429400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
