"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"1 Cycler","1317 Hiawatha Dr","Colorado Springs","CO",80915,"El Paso",,2147483647,,,,,1,56100,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"2 Exotoc College Girls",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,156750,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"24 Hour Erotic Ladies",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"24 Hour Fitness","3650 Austin Bluffs Pkwy # 197","Colorado Springs","CO",80918,"El Paso","Male",2147483647,7192629822,"Matt Leeson","Manager","www.24hourfitness.com",43,2266000,"Personal Services (Services)",45,"Miscellaneous Personal Service","webmaster@24hourfit.com"
"A AA Busty Brunette",,"Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,3,166650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Absolute Attraction",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Absolute Secret Sweethearts",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Back In Touch Massage","3645 Jeannine Dr # 107","Colorado Springs","CO",80917,"El Paso","Female",2147483647,,"M Joan Smith","Owner",,1,55550,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Beautiful Wedding Ceremony","2416 San Carlos Cir","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Kirk Fowler","Owner",,1,53900,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Busty Ebony Independent",,"Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,3,156750,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Carpenter's Shop Massage","1721 Palmer Park Blvd","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,3,163350,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Gentle Hands Massage Clinic","2860 S Circle Dr","Colorado Springs","CO",80906,"El Paso","Female",2147483647,,"Karen Swanstrom","Owner",,1,53350,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Good 24 Hour Escort Svc",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,163350,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A New Image Skin Clinic","4291 Austin Bluffs Pkwy # 206","Colorado Springs","CO",80918,"El Paso","Male",2147483647,7192777546,"Robert Goodman","Owner",,3,166650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Professional Touch","307 N 33rd St","Colorado Springs","CO",80904,"El Paso","Female",2147483647,,"Karen Cottingham","Owner",,1,56650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Special Occasion","2126 W Kiowa St","Colorado Springs","CO",80904,"El Paso","Female",2147483647,,"Jerri Wilson","Owner",,1,53350,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Tender Touch Leisure Massage","2850 S Circle Dr","Colorado Springs","CO",80906,"El Paso",,2147483647,,,,,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Therapeutic Massage","7834 N Academy Blvd","Colorado Springs","CO",80920,"El Paso",,2147483647,,,,,3,166650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A Z Masters Tattooing & Prcng","2727 Palmer Park Blvd","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Leon Miller","Owner",,2,108900,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A-Z Complete Encounters",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,156750,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"A-Z Tatooing & Piercing","2053 B St","Colorado Springs","CO",80906,"El Paso","Male",2147483647,,"James Stone","Manager",,4,228800,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"AAA Credit Card Svc",,"Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,3,158400,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"AAAA Erotic",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Aalluring Models",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,156750,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Absolute Wellness","3241 W Carefree Cir # F","Colorado Springs","CO",80917,"El Paso","Female",2147483647,,"Rachel Van Peursem","Owner",,1,55550,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Absolutely Free Debt Stoppers","1980 Dominion Way","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Mark Smith","Owner",,4,217800,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Absolutely Free Debt Stoppers","6295 Lehman Dr","Colorado Springs","CO",80918,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Active Therapy Works","300 Garden Of The Gods Rd #108","Colorado Springs","CO",80907,"El Paso","Female",2147483647,,"Sarah Altonen","Owner",,1,54450,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Adam Kevil Auctioneer","1313 Windmill Ave","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Adam Kevil","Owner",,1,56100,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Advance Therapeutic","5865 Lehman Dr # 100","Colorado Springs","CO",80918,"El Paso","Female",2147483647,,"Doris Hildreth","Owner",,14,572000,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Advanced Laser Clincs","2855 Dublin Blvd","Colorado Springs","CO",80918,"El Paso","Female",2147483647,,"Julie Tunney","Manager",,3,171600,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Advanced Therapy Institute","2928 Parker St # D","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Affordable Escorts",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Affordable Touch","2859 N Murray Blvd","Colorado Springs","CO",80917,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"African American Genealogical","2555 Airport Rd","Colorado Springs","CO",80910,"El Paso","female",2147483647,,"Candice McKnight","President",,43,1470000,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"All About Massage","1901 N Union Blvd # 109","Colorado Springs","CO",80909,"El Paso","Female",2147483647,,"Kathy Dykstra","Owner",,1,55550,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"All About You",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,161700,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"All Things Bridal","511 Arrawanna St","Colorado Springs","CO",80909,"El Paso","Female",2147483647,,"Renee Mc Gee","Owner",,1,54450,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Allen Harfert","922 Dirksland St","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Allen Harfert",,,3,168300,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Alternative Rehabilitation","2020 W Colorado Ave # 101a","Colorado Springs","CO",80904,"El Paso","Female",2147483647,7195780359,"Tracie Vanbuskirk","Owner",,11,453200,"Personal Services (Services)",45,"Miscellaneous Personal Service","Tracie@arcfamily.com"
"Always Available",,"Colorado Springs","CO",80903,"El Paso","Female",2147483647,,"Christina Armstrong","Owner",,5,426800,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Amazing Adventures",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,168300,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Amazons","1715 Monterey Rd # 186","Colorado Springs","CO",80910,"El Paso","Female",2147483647,,"Lazy Siori","Owner",,15,679800,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"An Erotic Independent Model",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,163350,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"An Exotic Room Svc",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Angel On Your Shoulder","2910 Del Mar Cir","Colorado Springs","CO",80910,"El Paso",,2147483647,,,,,3,158400,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Apollo Hair Ctr","223 N Weber St","Colorado Springs","CO",80903,"El Paso","Female",2147483647,7196355720,"Jana Schutte","Owner",,1,56650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Area 51","4775 Flintridge Dr","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Richard Sanchez","Owner",,4,215600,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Area 51","P.O. BOX 4775","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"Rick Sanchez","Partner",,8,232300,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Art In Motion Tattoos & Prcng","927 E Fillmore St","Colorado Springs","CO",80907,"El Paso","Male",2147483647,,"Donald Davis","Owner",,2,112200,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Art With A Pulse","729 1/2 W Colorado Ave","Colorado Springs","CO",80905,"El Paso","Male",2147483647,7194734195,"Jack D'Amore","Owner",,9,339900,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"ASSOCIATEDMINISTERS.COM",,"Colorado Springs","CO",80919,"El Paso","Male",2147483647,,"Ken Giordano","Owner","www.associatedministers.com",1,52800,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"At Peace Inc","6535 Mesedge Dr","Colorado Springs","CO",80919,"El Paso",,2147483647,,,,,3,158400,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"Athletic & Therapeutic Massage","917 W Colorado Ave # 100","Colorado Springs","CO",80905,"El Paso","Female",2147483647,,"Marilee Denton","Owner",,3,160050,"Personal Services (Services)",45,"Miscellaneous Personal Service",
"AWESOMEINC.COM","1747 B St","Colorado Springs","CO",80906,"El Paso",,2147483647,7195402035,,,"www.awesomeinc.com",3,166650,"Personal Services (Services)",45,"Miscellaneous Personal Service",
