"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"007 Investigations",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,4,170520,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Abila Security & Investigation","7725 Julynn Rd","Colorado Springs","CO",80919,"El Paso","Male",2147483647,,"Vern Abila","President",,2,57420,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Acme Investigations",,"Colorado Springs","CO",80908,"El Paso",,2147483647,,,,,10,180960,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Advanced Resource Alliance","31 E Platte Ave","Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,10,180960,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Allen-Richard Security Svc Inc",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,2,167040,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Alpha Investigations LLC","PO Box 62482","Colorado Springs","CO",80962,"El Paso","Male",2147483647,,"John Holiday","Owner",,1,29290,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Anthony Ortiz Investigations",,"Colorado Springs","CO",80920,"El Paso",,2147483647,,,,,8,177480,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Arellano Investigations","11 E Vermijo Ave","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Joe Arellano","Owner",,1,29290,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Arko Executive Svc-Colorado","5526 N Academy Blvd # 208","Colorado Springs","CO",80918,"El Paso","Male",2147483647,7195330016,"Butch Penberton","Manager","www.ussecurities.com",200,5742000,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Bob Demetry Polygraph Examiner","PO Box 17371","Colorado Springs","CO",80935,"El Paso",,2147483647,,,,,3,168780,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Bobby Brown Investigations","506 S Nevada Ave","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Bobby Brown","Owner","www.bobbybrown.com",6,278400,"Business Services (Services)",47,"Detective And Armored Car Serv","rachelle@bobbybrown.com"
"Burtis Investigations",,"Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,9,179220,"Business Services (Services)",47,"Detective And Armored Car Serv",
"C & D Security Service","306 Delaware Dr Ste 2","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Peter Derrington","President",,370,7920000,"Business Services (Services)",47,"Detective And Armored Car Serv",
"C & D Security Svc","306 Delaware Dr","Colorado Springs","CO",80909,"El Paso","Male",2147483647,7195970759,"Peter Derrington","President","www.canddsecurity.com",13,325380,"Business Services (Services)",47,"Detective And Armored Car Serv","Peter@canddsecurity.com"
"C M S","1901 N Union Blvd Ste 203","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Steve Thompson","President",,17,0,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Carlson Co LLC","6660 Delmonico Dr # D425","Colorado Springs","CO",80919,"El Paso",,2147483647,7195319638,,,,2,59740,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Cedar Heights Security","2250 Black Canyon Rd","Colorado Springs","CO",80904,"El Paso","Male",2147483647,,"Les Chambers","Manager",,6,253170,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Century Investigations","638 S Academy Blvd","Colorado Springs","CO",80910,"El Paso",,2147483647,,,,,5,172260,"Business Services (Services)",47,"Detective And Armored Car Serv",
"Cheyenne Mountain Security","1901 N Union Blvd # 203","Colorado Springs","CO",80909,"El Paso","Male",2147483647,7194489991,"James Harper","Manager",,18,448050,"Business Services (Services)",47,"Detective And Armored Car Serv",
