"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"100 Percent Chiro Wellness","213 E Cache LA Poudre St # A","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Jason Helfrich","Owner",,3,276210,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"A Accident & Injury Recovery","5350 Tomah Dr # 1300","Colorado Springs","CO",80918,"El Paso","Male",2147483647,7192682799,"Christian Augustin","Owner","www.choice-health-inc.com",4,379440,"Health Services (Services)",49,"Offices And Clinics Of Chiropr","Augustin_Christian@choice-health-inc.com"
"ABC Chiropractic","1271 Kelly Johnson Blvd # 250","Colorado Springs","CO",80920,"El Paso",,2147483647,7192666641,,,,3,284580,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Absolute Health Ctr","2300 N Powers Blvd # 2480","Colorado Springs","CO",80915,"El Paso","Male",2147483647,7195740241,"Brian A Polvi","Manager",,4,368280,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Absolute Health Ctr","5959 Delmonico Dr","Colorado Springs","CO",80919,"El Paso","Male",2147483647,7195740241,"Brian A Polvi","Manager",,8,569160,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Academy Chiropractic Ctr","1909 N Academy Blvd","Colorado Springs","CO",80909,"El Paso","Male",2147483647,7195912110,"John W Wade","Owner",,2,191580,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Access Healthcare Provider","7710 N Union Blvd # 100","Colorado Springs","CO",80920,"El Paso","Female",2147483647,7192609899,"Gwen Schiller","Owner",,5,441750,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Accident & Back Injury Ctr","1625 W Uintah St # E","Colorado Springs","CO",80904,"El Paso","Male",2147483647,7196301336,"Marc T Lowenstein","Owner",,1,92070,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Accident & Injury Clinic","824 E Fillmore St","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,3,270630,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Active Chiropractic Wellness","2203 N Weber St","Colorado Springs","CO",80907,"El Paso","Female",2147483647,,"Candice Garverkoch","Owner",,1,94860,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Active Healing Chiropractic","1965 Dominion Way # D","Colorado Springs","CO",80918,"El Paso",,2147483647,,,,,3,284580,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Advanced Chiropractic","1900 E Pikes Peak Ave # 6","Colorado Springs","CO",80909,"El Paso","Male",2147483647,,"Richard C Lewis",,,3,287370,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Advanced Chiropractic","1917 Lelaray St","Colorado Springs","CO",80909,"El Paso","Male",2147483647,7194736965,"Marshall Spahr","Manager",,2,184140,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Alliance Health Partners","215 Parkside Dr","Colorado Springs","CO",80910,"El Paso","male",2147483647,,"Scott Rosenquist","Branch Manager",,0,0,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Alliance Health Partners","215 Parkside Dr # 100","Colorado Springs","CO",80910,"El Paso","Male",2147483647,7194713734,"Scott Rosenquist","Partner",,8,911400,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Alpine Chiropractic Clinic","7730 N Union Blvd # 105","Colorado Springs","CO",80920,"El Paso","Male",2147483647,7195221648,"Jeffrey Henry","President",,4,357120,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Alta Vista Chiropractic","4675 Centennial Blvd","Colorado Springs","CO",80919,"El Paso","Male",2147483647,7195987157,"Ronald G Salvaggione","Owner",,3,273420,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Amsden Chiropractic","8842 N Union Blvd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,7192826464,"Jeff Amsden","Owner",,3,281790,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Anderson Chiropractic","1318 W Colorado Ave","Colorado Springs","CO",80904,"El Paso","Female",2147483647,7194771990,"Jane Y Anderson","Owner",,3,276210,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
"Atlas Chiropractic Ctr","3604 Hartsel Dr # A","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Eric Carlson","Owner",,3,281790,"Health Services (Services)",49,"Offices And Clinics Of Chiropr","fernando.beteta@atlaschiropracticpc.net"
"Austin Bluffs Chiropractic","4112 Austin Bluffs Pkwy","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Scott Cook","Owner",,3,273420,"Health Services (Services)",49,"Offices And Clinics Of Chiropr",
