"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"Jets Holdings Corp","1630 Gardiner Rock Ln","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Justin Chaston","Owner",,4,201600,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Labib Holding Co LLC","810 San Bruno Pl","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"William Bradley","Principal",,2,65550,"Holding and Other Investment O",43,"Holding Companies, Nec",
"LLC Rock Wise","11525 Howells Rd","Colorado Springs","CO",80908,"El Paso",,2147483647,,,,,11,530400,"Holding and Other Investment O",43,"Holding Companies, Nec",
"MDC Holdings Inc","2060 Briargate Pkwy","Colorado Springs","CO",80920,"El Paso",,2147483647,,,,,6,4490640,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Mjc Holdings LLC","P.O. BOX 38304","Colorado Springs","CO",80937,"El Paso","female",2147483647,,"Catherine Maki","Chief Executive Officer",,3,107800,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Nutt Enterprises Inc","5330 Silver Spur Ave","Colorado Springs","CO",80915,"El Paso","male",2147483647,,"Robert Nutt","President",,2,60140,"Holding and Other Investment O",43,"Holding Companies, Nec",
"P&T Townley Holdings LLC","5025 Langdale Way","Colorado Springs","CO",80906,"El Paso","female",2147483647,,"Patricia Townley","Principal",,2,68310,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Pacific Holding Co South","8415 Explorer Dr","Colorado Springs","CO",80920,"El Paso",,2147483647,,,,,10,4672080,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Pacifica Holding Co","2375 Telstar Dr","Colorado Springs","CO",80920,"El Paso",,2147483647,,,,,3,4354560,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Phil Long Ford","1329 Motor City Dr","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Gerald Cimino","President",,1380,75087000,"Holding and Other Investment O",43,"Holding Companies, Nec","PhilLong@phillong.com"
"Resource Land Holdings","523 S Cascade Ave # 3","Colorado Springs","CO",80903,"El Paso",,2147483647,,,,"www.rlholdings.com",8,4581360,"Holding and Other Investment O",43,"Holding Companies, Nec",
"River Park Holdings Ltd LP","14950 Pristine Dr","Colorado Springs","CO",80921,"El Paso","male",2147483647,,"Dennis Daugherty","Partner",,3,108900,"Holding and Other Investment O",43,"Holding Companies, Nec",
"S & C Holdings Corporation","405 S Cascade Ave Ste 104","Colorado Springs","CO",80903,"El Paso","male",2147483647,,"Steven Burke","President",,5,297600,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Sanders Family Partners Ltd","812 Manitou Blvd","Colorado Springs","CO",80904,"El Paso","female",2147483647,,"Alda Sanders","Managing Partner",,2,71780,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Seabolt & Miquelon Holdings","12065 Calle Corvo","Colorado Springs","CO",80926,"El Paso","male",2147483647,,"Mark Miquelon","Principal",,2,71040,"Holding and Other Investment O",43,"Holding Companies, Nec",
"SGS EP Holdings LLC","4360 Montebello Dr # 800","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"Michael Gilbert","Member",,4,211200,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Stallings Holdings LLC","6718 Dream Weaver Dr","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"Mark Stallings","Partner",,2,71760,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Tako Japanese Restaurant","1840 Dominion Way","Colorado Springs","CO",80918,"El Paso",,2147483647,,"Hideo Nishi","Owner",,4,217800,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Warner Holdings LLC","3250 Blue Mountain Way","Colorado Springs","CO",80906,"El Paso","male",2147483647,,"Mike Warner","Principal",,2,67620,"Holding and Other Investment O",43,"Holding Companies, Nec",
"Wheatgrass Holdings LLC","3540 Muirfield Dr","Colorado Springs","CO",80907,"El Paso","male",2147483647,,"Larry Douglas","Owner",,2,75480,"Holding and Other Investment O",43,"Holding Companies, Nec",
